,Name,Address,N Bedrooms,Price (idr)
0,Villa Mahita,Pereybere,4,6610000
1,Villa Mahe,Grand Baie,3,6350000
2,Villa Bougainvilliers,Pereybere,4,6610000
3,Villa Tiara,Poste Lafayette,5,22490000
4,Villa Stylia Beach,Trou d'Eau Douce,3,6520000
5,Villa Solaya,Bel Ombre,5,9920000
6,Villa Solara,Bel Ombre,7,12610000
7,Villa Santara,Bel Ombre,7,12610000
8,Villa Radani,Trou d'Eau Douce,7,5150000
9,Villa Matibi,Calodyne,1,2800000
10,Villa L'Ilot,Roches Noires,4,13270000
11,Villa Frenesie 1,Grand Baie,3,5050000
12,Villa Elora,Bel Ombre,7,12610000
13,Villa Dunes 2,Poste Lafayette,3,4720000
14,Villa Clos du Littoral Two,Grand Baie,2,5910000
15,Villa Clos du Littoral Three,Grand Baie,3,6150000
16,Villa Clos du Littoral Superior Three,Grand Baie,3,7120000
17,Villa Clos du Littoral One,Grand Baie,1,4890000
18,Villa Clos du Littoral Four,Grand Baie,4,8600000
19,Villa Balaclava,Balaclava,3,2750000
20,Villa Alizee,Pointe d'Esny,4,5800000
21,Summer Breeze Beachfront Apartment,Pointe d'Esny,3,4340000
22,St Antoine Private Residences,North Mauritius,3,3440000
23,Shanti Maurice Villa,Saint Felix,1,10880000
24,Shanti Maurice Beachfront Villa,Saint Felix,1,14620000
25,Penthouse H70 St Antoine,North Mauritius,4,6520000
26,Paradise Beach Penthouse,Pointe d'Esny,4,9100000
27,Paradise Beach Premium Apartment,Pointe d'Esny,3,5410000
28,O'Biches Penthouse,Trou aux Biches,3,9280000
29,O'Biches Deluxe Apartment,Trou aux Biches,2,5030000
30,O'biches Beachfront Apartment,Trou aux Biches,3,9180000
31,Oasis Villa 3,Grand Baie,3,7280000
32,Oasis Villa 1,Grand Baie,1,4000000
33,Manta Cove Premium Apartment,Black River,3,6540000
34,Esplanade Penthouse,Black River,3,10310000
35,Esplanade Deluxe Apartment,Black River,3,7110000
36,Coral Bay Beachfront Apartment,Blue Bay,3,3760000
37,Cap Ouest Premium Apartment,Flic-en-Flac,3,6920000
38,Cap Ouest Penthouse,Flic-en-Flac,3,11190000
39,Cap Ouest Deluxe Apartment,Flic-en-Flac,2,6350000
40,Blue Nest Premium Apartment,Pointe d'Esny,3,7190000
41,Blue Nest Penthouse,Pointe d'Esny,3,9370000
42,Bel Azur Villa,Trou aux Biches,3,3440000
43,Athena Villa 4,Grand Baie,4,6010000
44,Athena Villa 2,Grand Baie,2,4430000
45,Athena Villa 1,Grand Baie,1,3200000
46,Villa Frenesie 2,Grand Baie,2,3330000
47,Oasis Villa 2,Grand Baie,2,5490000
48,Latitude Penthouse,Black River,3,5680000
49,Athena Villa 3,Grand Baie,3,5410000
50,Koki Bonheur Beachfront Villa,Poste Lafayette,4,18010000
51,Villa Shanti Victoria,Grand Baie,3,6350000
52,Villa Rehaneel,Le Morne,4,1940000
53,Villa Nirvana,Trou d'Eau Douce,4,17160000
54,Villa Matahari,Black River,5,21440000
55,Villa Horizon,Grand Baie,3,5370000
56,Villa Dunes 1,Poste Lafayette,3,4040000
57,Corail Bleu Private Pool and Garden Villas,Cap Malheureux,3,3440000
58,Villa Cambresi,Trou d'Eau Douce,5,21440000
59,Villa Cambier,Le Morne,5,11710000
60,Villa Belle Vue 3,Trou aux Biches,3,9420000
61,Villa Belle Vue 2,Trou aux Biches,2,7120000
62,Villa Almira,Poste Lafayette,3,15000000
63,Villa Alina Mauritius,Bel Ombre,3,10470000
64,The Waterclub Premium Apartment,Black River,3,4550000
65,Shanti Villa,Saint Felix,3,45040000
66,Shanti Maurice Double Suite Villa,Saint Felix,2,26680000
67,Nautilya Residences,Grand Baie,3,3440000
68,L'Escale Seaview Apartment,Black River,3,3570000
69,Choisy Superior Villa,Mont Choisy,3,6060000
70,Choisy Penthouse,Mont Choisy,2,3930000
71,Choisy Garden Villa 2,Mont Choisy,3,10040000
72,Choisy Garden Villa 1,Mont Choisy,3,10040000
73,Blue Moon Villa,Trou d'Eau Douce,4,4720000
74,Villa Manta Cove,Black River,4,9950000
75,Marguery Villa Prestige,Black River,4,14210000
76,Marguery Villa Deluxe,Black River,3,11620000
77,Manta Cove Penthouse,Black River,4,12010000
78,Marguery Villa Superior,Black River,3,5410000
79,Elegance Villa 4,Grand Gaube,4,14210000
80,Elegance Villa 3,Grand Gaube,3,11620000
81,Villa Stylia Garden,Trou d'Eau Douce,3,4290000
82,Villa Vakoa,Pointe d'Esny,3,3010000
83,Villa Fayette sur Mer,Poste Lafayette,4,6180000
84,Villa Bleue,Blue Bay,4,4550000
85,Villa Blanche,Blue Bay,3,2830000
86,Villa Beach 4,Pereybere,4,7090000
87,Villa Beach 3,Pereybere,3,5680000
88,West Coast Marina Premium Apartment,Black River,3,4170000
89,West Coast Marina Duplex,Black River,4,4550000
90,West Coast Marina Deluxe Apartment,Black River,2,3210000
91,Villa Saphir,Pointe de Flacq,6,28310000
92,Villa Rubis,Pointe de Flacq,7,30020000
93,Villa de l'Ocean,Poste Lafayette,6,18010000
94,Villa Constellation,Grand Baie,4,22180000
95,Villa Balaclava 2,Balaclava,3,2750000
96,Villa Arty,Poste Lafayette,4,20420000
